Name	Gene(s)	Protein change	Condition(s)	Accession	GRCh37Chromosome	GRCh37Location	GRCh38Chromosome	GRCh38Location	VariationID	AlleleID(s)	dbSNP ID	Canonical SPDI	Variant type	Molecular consequence	Germline classification	Germline date last evaluated	Germline review status	Somatic clinical impact	Somatic clinical impact date last evaluated	Somatic clinical impact review status	Oncogenicity classification	Oncogenicity date last evaluated	Oncogenicity review status	
GRCh37/hg19 16p13.13(chr16:10519916-11249329)x3	ATF7IP2|CIITA|CLEC16A|DEXI|EMP2|NUBP1|TEKT5|TVP23A		See cases	VCV000442605	16	10519916 - 11249329			442605	436267			copy number gain		Likely benign	Jul 18, 2014	no assertion criteria provided							
GRCh37/hg19 16p13.13(chr16:10529891-11889585)x3	LITAF|ZC3H7A|TEKT5|CIITA|SOCS1|SNN|PRM3|DEXI|PRM2|NUBP1|TXNDC11|ATF7IP2|RMI2|TVP23A|EMP2|CLEC16A|TNP2|PRM1		not provided	VCV000564270	16	10529891 - 11889585			564270	555454			copy number gain		Uncertain significance	Aug 22, 2017	no assertion criteria provided							
GRCh37/hg19 16p13.13(chr16:10563055-10958954)x1	ATF7IP2|EMP2|NUBP1|TEKT5|TVP23A		not provided	VCV000688399	16	10563055 - 10958954			688399	675991			copy number loss		Pathogenic	Sep 14, 2017	no assertion criteria provided							
GRCh37/hg19 16p13.13(chr16:10564571-10623355)x1	ATF7IP2|EMP2		not provided	VCV000980085	16	10564571 - 10623355			980085	968163			copy number loss		Likely benign	Mar 2, 2020	no assertion criteria provided							
GRCh37/hg19 16p13.13(chr16:10570795-10671761)x1	ATF7IP2|EMP2		not provided	VCV000688884	16	10570795 - 10671761			688884	676476			copy number loss		Uncertain significance	Jul 14, 2017	no assertion criteria provided							
GRCh37/hg19 16p13.13(chr16:10575823-10657664)x1	ATF7IP2|EMP2		not provided	VCV000688055	16	10575823 - 10657664			688055	675647			copy number loss		Uncertain significance	Aug 25, 2017	no assertion criteria provided							
GRCh37/hg19 16p13.13(chr16:10596068-10637608)x3	EMP2		not provided	VCV000686080	16	10596068 - 10637608			686080	673672			copy number gain		Uncertain significance	May 19, 2017	no assertion criteria provided							
GRCh37/hg19 16p13.13(chr16:10601086-10663038)x1	EMP2		not provided	VCV000564271	16	10601086 - 10663038			564271	555455			copy number loss		Uncertain significance	Nov 7, 2017	no assertion criteria provided							
GRCh37/hg19 16p13.13(chr16:10654136-10705695)x3	EMP2		not provided	VCV000687295	16	10654136 - 10705695			687295	674887			copy number gain		Uncertain significance	Jul 27, 2017	no assertion criteria provided							
GRCh37/hg19 16p13.13(chr16:10671445-10864286)x1	EMP2|NUBP1|TEKT5|TVP23A		not provided	VCV002685553	16	10671445 - 10864286			2685553	2846588			copy number loss		Uncertain significance	Mar 12, 2023	criteria provided, single submitter							
GRCh37/hg19 16p13.2-13.13(chr16:10196800-11037738)x1	DEXI|EMP2|ATF7IP2|CIITA|GRIN2A|NUBP1|TEKT5|TVP23A		not provided	VCV000684953	16	10196800 - 11037738			684953	672545			copy number loss		Pathogenic	Jul 24, 2018	no assertion criteria provided							
GRCh37/hg19 16p13.2-13.13(chr16:10423631-12176517)x3	CIITA|ATF7IP2|BCAR4|CLEC16A|DEXI|EMP2|GSPT1|LITAF|NUBP1|PRM1|PRM2|PRM3|RMI2|RSL1D1|SNN|SNX29|SOCS1|TEKT5|TNFRSF17|TNP2|TVP23A|TXNDC11|ZC3H7A		not provided	VCV001809030	16	10423631 - 12176517			1809030	1866034			copy number gain		Uncertain significance	Jul 29, 2021	criteria provided, single submitter							
GRCh37/hg19 16p13.2-13.13(chr16:10443104-12537669)x3	ATF7IP2|BCAR4|CIITA|CLEC16A|DEXI|EMP2|GSPT1|LITAF|NUBP1|PRM1|PRM2|PRM3|RMI2|RSL1D1|SNN|SNX29|SOCS1|TEKT5|TNFRSF17|TNP2|TVP23A|TXNDC11|ZC3H7A		not provided	VCV004682908	16	10443104 - 12537669			4682908	4794348			copy number gain		Uncertain significance	Jun 11, 2025	criteria provided, single submitter							
GRCh37/hg19 16p13.2-13.13(chr16:10473817-10637006)x1	ATF7IP2|EMP2		not provided	VCV001809045	16	10473817 - 10637006			1809045	1866049			copy number loss		Uncertain significance	Jul 28, 2021	criteria provided, single submitter							
GRCh37/hg19 16p13.2-13.13(chr16:9321032-10971457)x3	CIITA|EMP2|GRIN2A|NUBP1|TEKT5|TVP23A|ATF7IP2		See cases	VCV000441882	16	9321032 - 10971457			441882	435544			copy number gain		Uncertain significance	Sep 9, 2015	no assertion criteria provided							
GRCh37/hg19 16p13.2-13.13(chr16:9631472-12128275)x3	ATF7IP2|BCAR4|CIITA|CLEC16A|DEXI|EMP2|GRIN2A|GSPT1|LITAF|NUBP1|PRM1|PRM2|PRM3|RMI2|RSL1D1|SNN|SNX29|SOCS1|TEKT5|TNFRSF17|TNP2|TVP23A|TXNDC11|ZC3H7A		See cases	VCV000441858	16	9631472 - 12128275			441858	435520			copy number gain		Uncertain significance	May 16, 2014	no assertion criteria provided							
